Unnamed: 0,Issuer.Ticker,Issuer.Name,Sales...1.Yr.Growth,Profit.Margin,Return.on.Assets,Offer.Size..M.,Shares.Outstanding..M.,Offer.Price,Offer.To.1st.Close,Market.Cap.at.Offer..M.,Trade.Date..US.,cusip,Cash.Flow.per.Share,Instit.Owner....Shares.Out.,Instit.Owner..Shares.Held.,Month.Date,Month.of.Quarter,Real.GDP.Per.Capita,OECD.Leading.Indicator,Interest.Rate,Seasonally.Adjusted.Unemployment.Rate,CPI.Growth.Rate,Filing.Term.Price.Range,Priced.Range,Industry.Sector,Industry.Group,Industry.Subgroup,Underpriced,price_1yr,X1_year_return,X1_year_up,actual_date_1yr,days_from_ipo,status,1_Year_excess_return,1_day_excess_return
191,CPRX,Catalyst Pharmaceuticals Inc,18.2,28.0,22.8,20.1,12.5167,6.0,1.666666627,75.1,11/8/06,14888U101,0.5,104.487,108741000.0,11/1/06,10/1/06,51455,101.2916395,6.25,4.568466443,-0.148662042,6-Jun,Priced Within Range,0,13,15,1,3.0,-50.0,0,2007-11-08,365,success,-56.4876039807035,1.4583992156718
192,CQP,Cheniere Energy Partners LP,52.9,17.2,2.4,326.025,26.4164,21.0,3.380952358,554.74,3/20/07,16411Q101,4.7,46.6785,225939000.0,3/1/07,1/1/07,51492,101.7155915,6.25,4.449643744,0.910569585,19 - 21,Priced Within Range,2,2,2,1,3.56,-83.06,0,2008-03-19,365,success,-73.5386900493591,2.74760702140053
193,CRI,Carter's Inc,15.2,9.7,9.0,136.562,27.2822,19.0,29.7368412,518.36,10/24/03,146229109,6.2,124.602,47550200.0,10/1/03,10/1/03,48450,99.97283644,2.0,6.061424767,-0.107991361,17 - 19,Priced Within Range,5,25,38,1,11.11,-41.54,0,2004-10-25,367,success,-48.0352186091714,30.206963752016
194,CRL,Charles River Laboratories Int,21.0,11.0,6.0,224.0,32.3204,16.0,37.5,517.126,6/23/00,159864107,15.1,105.504,53679100.0,6/1/00,4/1/00,46704,100.6856604,6.0,4.016709703,0.524781341,15 - 17,Priced Within Range,0,0,0,1,31.0,93.75,1,2001-06-25,367,success,107.932641717993,38.2368283272124
195,CRM,Salesforce Inc,24.6,5.4,0.5,126.5,101.257,11.0,56.36363602,1113.83,6/23/04,79466L302,6.2,88.837,888370000.0,6/1/04,4/1/04,48905,100.8993806,2.25,5.646463306,0.317292438,10-Sep,Priced Above Range,1,5,81,1,4.92,-55.27,0,2005-06-23,365,success,-61.5668649620518,55.5129713828076
196,CRNX,Crinetics Pharmaceuticals Inc,1418.3,-9985.2,-42.4,117.3,23.908,17.0,44.17647171,406.436,7/18/18,22663K107,-2.3,104.865,56428200.0,7/1/18,7/1/18,56831,100.5899154,2.5,3.862981324,0.006746326,15 - 17,Priced Within Range,0,21,29,1,24.0,41.18,1,2019-07-18,365,success,35.1848799914154,43.9604204600086
197,CROX,Crocs Inc,66.9,31.3,17.7,239.085,38.2722,21.0,35.95238113,803.72,2/8/06,227046109,9.0,90.6722,55985500.0,2/1/06,1/1/06,51200,101.1704712,5.5,4.870275357,0.201714574,19 - 20,Priced Above Range,5,25,147,1,28.25,34.5,1,2007-02-08,365,success,19.9327821669602,35.0860942311989
198,CRSR,Corsair Gaming Inc,11.8,5.3,-3.6,257.302,91.8494,17.0,-16.1764698,1561.44,9/23/20,22041X102,0.2,76.8863,77297000.0,9/1/20,7/1/20,56484,98.66695103,0.25,8.083785823,0.139274694,16 - 18,Priced Within Range,1,1,41,0,27.87,63.94,1,2021-09-23,365,success,29.4235446683009,-13.8043243050492
199,CRWD,Crowdstrike Holdings Inc,66.0,-16.1,-4.7,703.8,20.7,34.0,70.58823395,703.8,6/12/19,22788C105,2.5,76.1075,163504000.0,6/1/19,4/1/19,57418,99.43025865,3.0,3.689126149,0.019914718,28 - 30,Priced Above Range,1,1,127,1,95.04,179.53,1,2020-06-11,365,success,168.163402064094,70.7919918703488
200,CSBK,Clifton Bancorp Inc,13.9,15.4,0.3,137.387,0.0,10.0,22.5,0.0,3/4/04,186873105,0.5,0.3217,71095.0,3/1/04,1/1/04,48633,101.0054486,2.0,5.860438928,0.644468314,10-Oct,Priced Within Range,3,20,28,1,9.26,-7.39,0,2005-03-04,365,success,-12.1706213027467,22.1663887211235
